Wearable Clap Switch,,Total Cost,Total Print time (hr),Total filament (g),,,,,
Version: V1.0,Date Created: 10/18/2022, $113.35 ,11.80,89.5,,,,,
Commercial Parts:,,,,,,,,,
"Part type (Electrical. Mechanical, Sanitization, etc)",Part Name,Quantity Needed,Pkg Quantity,Price per package,Price per Unit,Price for qty needed,,Link,
Electrical,Circuit Playground Bluefruit,1,1, $39.31 , $39.31 , $39.31 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4333/11201431,
Electrical,ItsyBitsy nrf52840 Express,1,1, $27.46 , $27.46 , $27.46 ,,https://www.adafruit.com/product/4481,
Electrical,Battery backpack,1,1, $6.81 , $6.81 , $6.81 ,,https://www.adafruit.com/product/2124,
Electrical,150 mAh LiPo Battery,2,1, $8.19 , $8.19 , $16.38 ,,https://www.adafruit.com/product/1317,
Electrical,10kOhm Potentiometer,2,1, $1.31 , $1.31 , $2.62 ,,https://www.adafruit.com/product/562,
Electrical,Mini Toggle Switch,2,1, $1.31 , $1.31 , $2.62 ,,https://www.adafruit.com/product/3221,
Electrical,Protoboard,1,50, $19.99 , $0.40 , $0.40 ,,https://www.amazon.ca/gp/product/B07F7WBY7Y/ref=ppx_yo_dt_b_asin_title_o02_s01?ie=UTF8&psc=1,
Electrical,Slide switch,1,1, $2.75 , $2.75 , $2.75 ,,https://www.digikey.ca/en/products/detail/nkk-switches/ss12sdp2/1014829,
Electrical,LiPo Charge Circuit,1,1, $10.23 , $10.23 , $10.23 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/1904/5054545,
Electrical,3.5 mm mono jack,1,1, $2.53 , $2.53 , $2.53 ,,https://www.digikey.ca/en/products/detail/switchcraft-inc/35RAPC2AV/772080,
3D Printed Parts                                                                                     ESTIMATED PRICING USING 1KG ROLL COST:, $25.00 ,,,,,,,,
Part,Description,Quantity Needed,TOTAL Mass (g),Estimated Price,Print Time (Min),Link,,,
Transmitter_Lid.stl,Transmitter Lid,1,16, $0.40 ,149,,,,
Transmitter_Base.stl,Transmitter Base,1,9, $0.23 ,78,,,,
Receiver_Lid.stl,Receiver Lid,1,20, $0.50 ,132,,,,
Receiver_Base.stl,Receiver Base,1,44, $1.10 ,347,,,,
Transmitter_Cover.stl,Transmitter Sliding Cover,2,0.5, $0.01 ,2,,,,
Transmitter_Button.stl,Transmitter Button,2,0.2, $0.01 ,9,,,,
,,,Total Print Cost:, $2.24 ,,,,,
Tools for Assembly,,,,,,,,,
Soldering Iron,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,
Part and description,Link,,,,,,,,
